ID,Definition
0,None
583,Own Team 1st Entry
584,Own Team 2nd Entry
585,Own Team 3rd Entry
586,Own Team 4th Entry
587,Own Team 5th+ Entry
638,22 Entry Outcome - Drop Goal
639,22 Entry Outcome - Kick Turnover
640,23 Entry Outcome - Lineout Won
641,24 Entry Outcome - Penalty Conceded
642,25 Entry Outcome - Penalty Goal Attempt
643,26 Entry Outcome - Penalty Won
644,27 Entry Outcome - Scrum Won
645,28 Entry Outcome - Try
646,29 Entry Outcome - Turnover
314,Try
313,Drop Goal
315,Kick Out of Play
413,Kick Error
351,Kick in Play
414,Kick in Goal
316,Pen Won
317,Scrum
319,Pen Con
318,Turnover
411,Turnover (Scrum)
415,Own Lineout
320,Other
321,End of Play
353,Won Outright
356,Won Free Kick
357,Won Penalty
209,Won Penalty Try
354,Won Try
259,Reset
358,Lost Outright
360,Lost Free Kick
359,Lost Pen Con
361,Lost Reversed
401,Won Outright
402,Lost Outright
403,Penalty Won
404,Penalty Conceded
405,Try Scored
406,Penalty Try
452,Unplayable
647,22 Entry Points - Drop Goal
648,22 Entry Points - Penalty Goal
649,23 Entry Points - Penalty Try
650,24 Entry Points - Try and Conversion
651,25 Entry Points - Try without Conversion
284,Restart Retained
285,Restart Opp Error
286,Restart Opp Collection
287,Restart Own Error
416,Kick in Touch
376,Won Clean
377,Won Tap
378,Won Penalty
379,Won Free Kick
380,Won Other
381,Lost Not Straight
417,Lost Handling Error
382,Lost Clean
383,Lost Free Kick
384,Lost Penalty
418,Lost Not 5m
419,Lost Overthrown
385,Lost Other
236,No Action
237,Yellow Card
238,Red Card
240,Warning
241,Penalty Try
542,Foul Play
543,Professional Foul
544,Dissent
545,Fighting
546,Persistent Infringement
547,Stamping
409,Tackled Ineffective
108,Tackled Neutral
107,Tackled Dominant
117,Try Scored
118,Other
119,Error
120,Kick
121,Pass
122,Off Load
124,Pen Conceded
210,Penalty Won
128,Own Player
129,To Ground
130,To Opposition
277,Success
278,Fail
192,Kick in Touch (Bounce)
193,Kick in Touch (Full)
194,Error - Charged Down
195,Error - Out of Play
196,Error - Territorial Loss
197,Error - Dead Ball
198,Caught Full
199,Collected Bounce
200,In Goal
201,Own Player - Collected
202,Own Player - Failed
203,Pressure Carried Over
204,Pressure in Touch
205,Pressure Error
206,Try Kick
299,Goal Kicked
298,Goal Missed
153,Complete
160,Passive
155,Offload Allowed
156,Turnover Won
154,Forced in Touch
157,Pen Conceded
158,Try Saver
159,Sack
161,Missed
467,Ineffective
166,Tackled
167,Clean Break
168,Try
530,Line Break
531,Kick Line Break
532,Intercepted Break
